dataset,iter_num,pipeline_type,IOpt time mean,Hyperopt time mean
Amazon_employee_access,20,branched,201.63536754999902,124.05580299666495
Amazon_employee_access,20,complex,580.0663490366676,369.60803734333155
Amazon_employee_access,20,linear,178.41135478333453,109.56374017499753
Amazon_employee_access,100,branched,1007.9557832666692,528.6717768600003
Amazon_employee_access,100,complex,2836.986234423332,1486.5641563050017
Amazon_employee_access,100,linear,908.950215986664,473.71578530500193
class_cnae-9,20,branched,69.12019145999972,44.06962252333712
class_cnae-9,20,complex,103.85141909000036,68.01808959166519
class_cnae-9,20,linear,68.0403774633333,43.390123483339266
class_cnae-9,100,branched,342.4468348100008,178.30348344333422
class_cnae-9,100,complex,528.0302334900002,276.3286286050032
class_cnae-9,100,linear,333.2355364000005,173.70526388499857
class_volkert_small.csv,20,branched,282.58775087332856,180.6027339200009
class_volkert_small.csv,20,complex,1382.4873890933309,984.6222087116621
class_volkert_small.csv,20,linear,225.99799580332862,145.92197531500182
class_volkert_small.csv,100,branched,1239.207078946665,647.9475800683343
class_volkert_small.csv,100,complex,6836.4680275366645,3730.5999677466657
class_volkert_small.csv,100,linear,1193.6812114466622,619.6831116816699
